scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active
100033,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND -,Aditya Birla Sun Life Large & Mid Cap Fund -,adityabirlasunlifelargemidcap,mid_cap,True
100034,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND - -,Aditya Birla Sun Life Large & Mid Cap Fund - -,adityabirlasunlifelargemidcap,mid_cap,True
100080,DSP FLEXI CAP FUND - -,Dsp Flexi Cap Fund - -,dspflexicap,multi_cap,True
100176,QUANT SMALL CAP FUND - -,Quant Small Cap Fund - -,quantsmallcap,small_cap,True
100177,QUANT SMALL CAP FUND - -,Quant Small Cap Fund - -,quantsmallcap,small_cap,True
100218,JM LARGE CAP FUND ( ) -,Jm Large Cap Fund ( ) -,jmlargecap,large_cap,True
100219,JM LARGE CAP FUND ( ) -,Jm Large Cap Fund ( ) -,jmlargecap,large_cap,True
100312,LIC MF FLEXI CAP FUND- -,Lic Mf Flexi Cap Fund- -,licmfflexicap,multi_cap,True
100313,LIC MF FLEXI CAP FUND- -,Lic Mf Flexi Cap Fund- -,licmfflexicap,multi_cap,True
100332,LIC MF LARGE CAP FUND- -,Lic Mf Large Cap Fund- -,licmflargecap,large_cap,True
100348,ICICI PRUDENTIAL LARGE & MID CAP FUND -,Icici Prudential Large & Mid Cap Fund -,iciciprudentiallargemidcap,mid_cap,True
100349,ICICI PRUDENTIAL LARGE & MID CAP FUND -,Icici Prudential Large & Mid Cap Fund -,iciciprudentiallargemidcap,mid_cap,True
100470,FRANKLIN INDIA LARGE CAP FUND -,Franklin India Large Cap Fund -,franklinlargecap,large_cap,True
100471,FRANKLIN INDIA LARGE CAP FUND-,Franklin India Large Cap Fund-,franklinlargecap,large_cap,True
100472,FRANKLIN INDIA MID CAP FUND -,Franklin India Mid Cap Fund -,franklinmidcap,mid_cap,True
100473,FRANKLIN INDIA MID CAP FUND-,Franklin India Mid Cap Fund-,franklinmidcap,mid_cap,True
100475,TATA LARGE CAP FUND - -,Tata Large Cap Fund - -,tatalargecap,large_cap,True
