scheme_code,scheme_name,canonical_scheme_name,match_key,category
100033,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND -,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND -,adityabirlasunlifelargemidcap,mid_cap
100034,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND - -,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND - -,adityabirlasunlifelargemidcap,mid_cap
100080,DSP FLEXI CAP FUND - -,DSP FLEXI CAP FUND - -,dspflexicap,multi_cap
100176,QUANT SMALL CAP FUND - -,QUANT SMALL CAP FUND - -,quantsmallcap,small_cap
100177,QUANT SMALL CAP FUND - -,QUANT SMALL CAP FUND - -,quantsmallcap,small_cap
100218,JM LARGE CAP FUND ( ) -,JM LARGE CAP FUND ( ) -,jmlargecap,large_cap
100219,JM LARGE CAP FUND ( ) -,JM LARGE CAP FUND ( ) -,jmlargecap,large_cap
100312,LIC MF FLEXI CAP FUND- -,LIC MF FLEXI CAP FUND- -,licmfflexicap,multi_cap
100313,LIC MF FLEXI CAP FUND- -,LIC MF FLEXI CAP FUND- -,licmfflexicap,multi_cap
100332,LIC MF LARGE CAP FUND- -,LIC MF LARGE CAP FUND- -,licmflargecap,large_cap
100348,ICICI PRUDENTIAL LARGE & MID CAP FUND -,ICICI PRUDENTIAL LARGE & MID CAP FUND -,iciciprudentiallargemidcap,mid_cap
100349,ICICI PRUDENTIAL LARGE & MID CAP FUND -,ICICI PRUDENTIAL LARGE & MID CAP FUND -,iciciprudentiallargemidcap,mid_cap
100470,FRANKLIN INDIA LARGE CAP FUND -,FRANKLIN INDIA LARGE CAP FUND -,franklinlargecap,large_cap
100471,FRANKLIN INDIA LARGE CAP FUND-,FRANKLIN INDIA LARGE CAP FUND-,franklinlargecap,large_cap
100472,FRANKLIN INDIA MID CAP FUND -,FRANKLIN INDIA MID CAP FUND -,franklinmidcap,mid_cap
100473,FRANKLIN INDIA MID CAP FUND-,FRANKLIN INDIA MID CAP FUND-,franklinmidcap,mid_cap
100475,TATA LARGE CAP FUND - -,TATA LARGE CAP FUND - -,tatalargecap,large_cap
100476,TAURUS FLEXI CAP FUND - -,TAURUS FLEXI CAP FUND - -,taurusflexicap,multi_cap
100477,TAURUS MID CAP FUND - -,TAURUS MID CAP FUND - -,taurusmidcap,mid_cap
100484,FRANKLIN INDIA INDEX FUND- NSE NIFTY 50 INDEX FUND -,FRANKLIN INDIA INDEX FUND- NSE NIFTY 50 INDEX FUND -,franklinindexnsenifty50index,index_fund
100519,FRANKLIN INDIA FLEXI CAP FUND -,FRANKLIN INDIA FLEXI CAP FUND -,franklinflexicap,multi_cap
100520,FRANKLIN INDIA FLEXI CAP FUND -,FRANKLIN INDIA FLEXI CAP FUND -,franklinflexicap,multi_cap
100630,QUANT MULTI CAP FUND- -,QUANT MULTI CAP FUND- -,quantmulticap,multi_cap
100631,QUANT MULTI CAP FUND- -,QUANT MULTI CAP FUND- -,quantmulticap,multi_cap
100650,UTI LARGE CAP FUND - -,UTI LARGE CAP FUND - -,utilargecap,large_cap
100651,UTI LARGE CAP FUND - -,UTI LARGE CAP FUND - -,utilargecap,large_cap
100663,UTI LARGE & MID CAP FUND - -,UTI LARGE & MID CAP FUND - -,utilargemidcap,mid_cap
100664,UTI LARGE & MID CAP FUND - -,UTI LARGE & MID CAP FUND - -,utilargemidcap,mid_cap
100668,UTI FLEXI CAP FUND - -,UTI FLEXI CAP FUND - -,utiflexicap,multi_cap
100669,UTI - FLEXI CAP FUND-,UTI - FLEXI CAP FUND-,utiflexicap,multi_cap
100794,SUNDARAM SMALL CAP FUND - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SUNDARAM SMALL CAP FUND - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sundaramsmallcapincomedistributioncumcapitalwithdrawal,small_cap
100795,SUNDARAM SMALL CAP FUND -,SUNDARAM SMALL CAP FUND -,sundaramsmallcap,small_cap
100822,UTI NIFTY 50 INDEX FUND - -,UTI NIFTY 50 INDEX FUND - -,utinifty50index,index_fund
100823,UTI NIFTY 50 INDEX FUND - -,UTI NIFTY 50 INDEX FUND - -,utinifty50index,index_fund
101065,QUANT MID CAP FUND - -,QUANT MID CAP FUND - -,quantmidcap,mid_cap
101066,QUANT MID CAP FUND - -,QUANT MID CAP FUND - -,quantmidcap,mid_cap
101161,NIPPON INDIA MULTI CAP FUND- -,NIPPON INDIA MULTI CAP FUND- -,nipponmulticap,multi_cap
101162,NIPPON INDIA MULTI CAP FUND- -,NIPPON INDIA MULTI CAP FUND- -,nipponmulticap,multi_cap
101163,NIPPON INDIA MULTI CAP FUND -,NIPPON INDIA MULTI CAP FUND -,nipponmulticap,multi_cap
101198,LIC MF BSE SENSEX INDEX FUND- -,LIC MF BSE SENSEX INDEX FUND- -,licmfbsesensexindex,index_fund
101199,LIC MF BSE SENSEX INDEX FUND- -,LIC MF BSE SENSEX INDEX FUND- -,licmfbsesensexindex,index_fund
101200,LIC MF NIFTY 50 INDEX FUND- -,LIC MF NIFTY 50 INDEX FUND- -,licmfnifty50index,index_fund
101201,LIC MF NIFTY 50 INDEX FUND- -,LIC MF NIFTY 50 INDEX FUND- -,licmfnifty50index,index_fund
101209,TAURUS LARGE CAP FUND - -,TAURUS LARGE CAP FUND - -,tauruslargecap,large_cap
101228,ICICI PRUDENTIAL MULTICAP FUND -,ICICI PRUDENTIAL MULTICAP FUND -,iciciprudentialmulticap,multi_cap
101281,HDFC BSE SENSEX INDEX FUND -,HDFC BSE SENSEX INDEX FUND -,hdfcbsesensexindex,index_fund
101313,ADITYA BIRLA SUN LIFE NIFTY 50 INDEX FUND - -,ADITYA BIRLA SUN LIFE NIFTY 50 INDEX FUND - -,adityabirlasunlifenifty50index,index_fund
101314,ADITYA BIRLA SUN LIFE NIFTY 50 INDEX FUND - -,ADITYA BIRLA SUN LIFE NIFTY 50 INDEX FUND - -,adityabirlasunlifenifty50index,index_fund
101349,ICICI PRUDENTIAL NIFTY 50 INDEX FUND - CUMULATIVE,ICICI PRUDENTIAL NIFTY 50 INDEX FUND - CUMULATIVE,iciciprudentialnifty50indexcumulative,index_fund
101525,HDFC NIFTY 50 INDEX FUND -,HDFC NIFTY 50 INDEX FUND -,hdfcnifty50index,index_fund
101530,SBI LARGE & MIDCAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SBI LARGE & MIDCAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sbilargemidcapincomedistributioncumcapitalwithdrawal,mid_cap
101538,SUNDARAM MID CAP FUND - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SUNDARAM MID CAP FUND - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sundarammidcapincomedistributioncumcapitalwithdrawal,mid_cap
101539,SUNDARAM MID CAP FUND -,SUNDARAM MID CAP FUND -,sundarammidcap,mid_cap
101591,ADITYA BIRLA SUN LIFE MIDCAP FUND - -,ADITYA BIRLA SUN LIFE MIDCAP FUND - -,adityabirlasunlifemidcap,mid_cap
101592,ADITYA BIRLA SUN LIFE MIDCAP FUND-,ADITYA BIRLA SUN LIFE MIDCAP FUND-,adityabirlasunlifemidcap,mid_cap
101593,HSBC LARGE CAP FUND -,HSBC LARGE CAP FUND -,hsbclargecap,large_cap
101594,HSBC LARGE CAP FUND -,HSBC LARGE CAP FUND -,hsbclargecap,large_cap
