scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active,rejection_reason
100037,ADITYA BIRLA SUN LIFE INCOME FUND - -,Aditya Birla Sun Life Income Fund - -,adityabirlasunlifeincome,unknown,True,Unknown Category
100038,ADITYA BIRLA SUN LIFE INCOME FUND - -,Aditya Birla Sun Life Income Fund - -,adityabirlasunlifeincome,unknown,True,Unknown Category
100041,ADITYA BIRLA SUN LIFE LIQUID FUND -INSTITUTIONAL -,Aditya Birla Sun Life Liquid Fund -Institutional -,adityabirlasunlifeliquidinstitutional,unknown,True,Unknown Category
100042,ADITYA BIRLA SUN LIFE LIQUID FUND RETAIL ( ),Aditya Birla Sun Life Liquid Fund Retail ( ),adityabirlasunlifeliquidretail,unknown,True,Unknown Category
100043,ADITYA BIRLA SUN LIFE LIQUID FUND INSTITUTIONAL ( ),Aditya Birla Sun Life Liquid Fund Institutional ( ),adityabirlasunlifeliquidinstitutional,unknown,True,Unknown Category
100044,ADITYA BIRLA SUN LIFE LIQUID FUND -RETAIL -,Aditya Birla Sun Life Liquid Fund -Retail -,adityabirlasunlifeliquidretail,unknown,True,Unknown Category
100046,ADITYA BIRLA SUN LIFE LIQUID FUND -DAILY,Aditya Birla Sun Life Liquid Fund -Daily,adityabirlasunlifeliquiddaily,unknown,True,Unknown Category
100047,ADITYA BIRLA SUN LIFE LIQUID FUND -,Aditya Birla Sun Life Liquid Fund -,adityabirlasunlifeliquid,unknown,True,Unknown Category
100048,ADITYA BIRLA SUN LIFE LIQUID FUND -INSTITUTIONAL - WEEKLY,Aditya Birla Sun Life Liquid Fund -Institutional - Weekly,adityabirlasunlifeliquidinstitutionalweekly,unknown,True,Unknown Category
100051,ADITYA BIRLA SUN LIFE LIQUID FUND -WEEKLY,Aditya Birla Sun Life Liquid Fund -Weekly,adityabirlasunlifeliquidweekly,unknown,True,Unknown Category
