scheme_code,scheme_name
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth)
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth)
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW
100047,Aditya Birla Sun Life Liquid Fund - Growth
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW
100068,BARODA ELSS 96 - Plan A - IDCW
100077,DSP Bond Fund - IDCW
100078,DSP Bond Fund - Growth
100079,DSP Bond Fund - IDCW - Monthly
100080,DSP Flexi Cap Fund - Regular Plan - IDCW
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth
100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW
100084,DSP Gilt Fund - Regular Plan - Growth
100085,DSP Gilt Fund - Regular Plan - IDCW
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly
100087,DSP Savings Fund - Regular Plan - Growth
100088,DSP Savings Fund - Regular Plan - IDCW
100089,DSP Savings Fund - Regular Plan - IDCW - Monthly
100119,HDFC Balanced Advantage Fund - Growth Plan
100120,HDFC Balanced Advantage Fund - IDCW Plan
100123,HDFC Income Fund - Quarterly IDCW Option
100124,HDFC Income Fund - Growth Option
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan
100176,quant Small Cap Fund - IDCW Option - Regular Plan
100177,quant Small Cap Fund - Growth - Regular Plan
100218,JM Large Cap Fund (Regular) - IDCW
100219,JM Large Cap Fund (Regular) - Growth Option
100220,JM Aggressive Hybrid Fund (Regular) - IDCW
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW
100223,JM Medium to Long Duration Fund (Regular) - Growth Option
100233,JM Liquid Fund (Regular) - Weekly IDCW
100234,JM Liquid Fund - Growth Option
100244,JM Liquid Fund (Regular) - Quarterly IDCW
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option
100254,JM Value Fund (Regular) - Growth Option
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option
100265,Kotak Gilt-Investment Regular-Growth
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth
100286,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option
100299,Kotak Bond Fund - Regular Plan Growth
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth
100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW
100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth
100316,LIC MF Gilt Fund-Regular Plan-IDCW
100317,LIC MF Gilt Fund-Regular Plan-Growth
100318,LIC MF Gilt Fund-PF Plan-IDCW
100319,LIC MF Gilt Fund-PF Plan-Growth
100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment
100332,LIC MF Large Cap Fund-Regular Plan-IDCW
100348,ICICI Prudential Large & Mid Cap Fund - IDCW
100349,ICICI Prudential Large & Mid Cap Fund - Growth
100351,ICICI Prudential FMCG Fund - IDCW
100352,ICICI Prudential FMCG Fund - Growth
100353,ICICI Prudential ELSS Tax Saver Fund - IDCW
100354,ICICI Prudential ELSS Tax Saver Fund - Growth
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW
100356,ICICI Prudential Equity & Debt Fund - Growth
100357,ICICI Prudential Liquid Fund -Quarterly IDCW
100363,ICICI Prudential Technology Fund - Growth
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW
100365,ICICI Prudential Long Term Bond Fund - Growth
100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW
100368,ICICI Prudential Gilt Fund - IDCW
100369,ICICI Prudential Gilt Fund - Growth
100375,NIPPON INDIA GROWTH FUND - IDCW Option
100376,Nippon India Growth Fund-Growth Plan-Bonus Option
100377,Nippon India Growth Fund-Growth Plan-Growth Option
100378,NIPPON INDIA VISION FUND - IDCW Option
100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option
100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option
100383,NIPPON INDIA MEDIUM TO LONG DURATION FUND - MONTHLY IDCW Option
100384,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - QUARTERLY IDCW Option
100385,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - HALF YEARLY IDCW Option
100386,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - ANNUAL IDCW Option
100387,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option
100388,Nippon India Medium to Long Duration  Fund - Growth Plan Bonus Option
100414,Tata Aggressive Hybrid Fund- Regular Plan - Growth Option
100415,Tata Ethical Fund-Regular Plan - Growth Option
100417,Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option
100418,Tata Income Fund -Regular Plan - Growth Option
100470,Franklin India Large Cap Fund - IDCW
100471,Franklin India Large Cap Fund-Growth
100472,Franklin India Mid Cap Fund - IDCW
100473,Franklin India Mid Cap Fund-Growth
100474,Tata ELSS Fund- Regular Plan - Payout of IDCW Option
100475,Tata Large Cap Fund -Regular Plan - Growth Option
100476,Taurus Flexi Cap Fund - Regular Plan - Growth
100477,Taurus Mid Cap Fund - Regular Plan - Growth
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth
100493,Franklin India Government Securities Fund - Growth
100494,Franklin India Government Securities Fund - IDCW
100496,Templeton India Value Fund - Growth Plan
100497,Templeton India Value Fund - IDCW
100498,Franklin India Dynamic Accrual Fund - IDCW
100499,Franklin India Dynamic Accrual Fund-Growth
100503,Franklin India Low Duration Fund - Monthly - IDCW
100504,Franklin India Low Duration Fund - Quarterly - IDCW
100519,Franklin India Flexi Cap Fund - IDCW
100520,Franklin India Flexi Cap Fund - Growth
100521,Franklin India Technology Fund - IDCW
100522,Franklin India Technology Fund-Growth
100524,Franklin INDIA OPPORTUNITIES FUND - IDCW
100525,Franklin India ELSS Tax Saver Fund - IDCW
100526,Franklin India ELSS Tax Saver Fund-Growth
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW
100528,Franklin India Corporate Debt Fund - Growth
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW
100535,Franklin India Retirement Fund - IDCW
100536,Franklin India Retirement Fund - Growth
100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW
100538,Franklin India Liquid Fund - Regular Plan - Growth
100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth
100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW
100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW
100549,Franklin India Aggressive Hybrid Fund - IDCW
