scheme_code,months,years,total_invested,final_value,gain,cagr_percent,scheme_name,cagr_decimal,abs_return_pct,final_value_ratio,log_total_invested,log_final_value,log_gain_plus1,last_nav_date,is_active,recent_3y_cagr_percent,max_drawdown
100033,132,11.0,132000.0,257959.2479557669,125959.24795576691,6.280226205246842,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,0.06280226205246842,0.9542367269376282,1.9542367269376282,11.790564777297387,12.460560774341742,11.743729582721986,2025-12-08,True,13.17868360742207,-0.3960087515746204
100034,132,11.0,132000.0,166722.58224277772,34722.58224277772,2.145689698296782,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,0.02145689698296782,0.2630498654755888,1.2630498654755888,11.790564777297387,12.024092523897266,10.455203137104611,2025-12-08,True,5.69829590281572,-0.49715566281675566
100037,132,11.0,132000.0,133845.86276322952,1845.8627632295247,0.1263246078625046,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,0.001263246078625046,0.013983808812344884,1.013983808812345,11.790564777297387,11.804451610222037,7.521784987122361,2025-12-08,True,0.03192545215702225,-0.14025062799319707
100038,132,11.0,132000.0,190003.6096309256,58003.60963092561,3.3667162967640163,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,0.03366716296764016,0.4394212850827698,1.4394212850827697,11.790564777297387,12.154803612063722,10.968295002626274,2025-12-08,True,6.730530841247551,-0.06374016474662976
100041,132,11.0,132000.0,131994.44247276336,-5.557527236640453,-0.0003827571347536,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,-3.827571347536e-06,-4.210247906545798e-05,0.9999578975209346,11.790564777297387,11.790522674250957,,2025-12-08,True,0.0,-0.0026190236183772585
100042,132,11.0,132000.0,184385.71212696197,52385.71212696194,3.085067019448884,Aditya Birla Sun Life Liquid Fund-Retail (Growth),0.03085067019448884,0.3968614555072874,1.3968614555072876,11.790564777297387,12.124790527459167,10.866427341415527,2025-12-08,True,6.990845492338149,-0.0016134736527572116
100043,132,11.0,132000.0,184385.82711571385,52385.82711571385,3.085072863729277,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),0.030850728637292768,0.39686232663419585,1.3968623266341957,11.790564777297387,12.124791151087164,10.866429536369669,2025-12-08,True,6.990844107420235,-0.0016135954516021125
100044,132,11.0,132000.0,131993.34487270005,-6.655127299949527,-0.0004583526047596,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,-4.583526047596e-06,-5.0417631060223685e-05,0.9999495823689398,11.790564777297387,11.790514358777283,,2025-12-08,True,0.0,-0.002618714870712047
100046,132,11.0,132000.0,131994.56389438323,-5.436105616769055,-0.0003743944476553,Aditya Birla Sun Life Liquid Fund -Daily IDCW,-3.7439444765529997e-06,-4.118261830885647e-05,0.9999588173816911,11.790564777297387,11.790523594143052,,2025-12-08,True,0.0,-0.002619247028794862
100047,132,11.0,132000.0,184384.2972141168,52384.297214116814,3.0849951065142767,Aditya Birla Sun Life Liquid Fund - Growth,0.030849951065142767,0.39685073647058194,1.396850736470582,11.790564777297387,12.124782853813612,10.86640033256373,2025-12-08,True,6.99074433755662,-0.0016134852132966809
100048,132,11.0,132000.0,132116.78298396344,116.78298396343598,0.0080396726352294,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,8.039672635229399e-05,0.0008847195754805756,1.0008847195754806,11.790564777297387,11.791449099042739,4.777298164038761,2025-12-08,True,0.01807977633587754,-0.004030126301279668
100051,132,11.0,132000.0,131992.64458606832,-7.35541393168387,-0.0005065840385953,Aditya Birla Sun Life Liquid Fund -weekly IDCW,-5.065840385953e-06,-5.572283281578689e-05,0.9999442771671843,11.790564777297387,11.79050905333416,,2025-12-08,True,-0.019402229037268626,-0.004030131976624939
100057,132,11.0,132000.0,133214.7460972182,1214.746097218187,0.083312283855963,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,0.00083312283855963,0.00920262194862263,1.0092026219486225,11.790564777297387,11.799725244044788,7.103935441162241,2025-12-08,True,-0.5219288495426411,-0.13660137060001235
100058,132,11.0,132000.0,188784.33235286403,56784.33235286403,3.3062381067523017,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,0.03306238106752302,0.4301843360065457,1.4301843360065456,11.790564777297387,12.148365840866623,10.947050948163357,2025-12-08,True,6.145108826351775,-0.05990689762090314
100063,132,11.0,132000.0,180537.37105917005,48537.37105917005,2.8875952197879418,Aditya Birla Sun Life MNC Fund - Regular - IDCW,0.028875952197879418,0.36770735650886405,1.367707356508864,11.790564777297387,12.103698616207975,10.790130522030806,2025-12-08,True,11.702734585345919,-0.402566070841101
100064,132,11.0,132000.0,216218.75756483976,84218.75756483976,4.588415877981844,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,0.04588415877981844,0.6380208906427255,1.6380208906427254,11.790564777297387,12.28405056560314,11.34119669674599,2025-12-08,True,11.701480347544745,-0.3246907649813858
100067,100,8.333333333333334,100000.0,105909.44848372186,5909.448483721862,0.6913502694471996,Aditya Birla Sun Life Tax Plan -Regular - IDCW,0.006913502694471996,0.059094484837218623,1.0590944848372186,11.51293546492023,11.57034919040265,8.684646170678688,2023-04-13,False,-19.631815997397183,-0.4438091482649842
100068,87,7.25,87000.0,113177.94900624704,26177.94900624703,3.694947348905786,BARODA ELSS 96 - Plan A - IDCW,0.03694947348905786,0.3008959655890463,1.3008959655890464,11.373674891823535,11.636725464615646,10.172749091648663,2022-03-13,False,,-0.4906025428413488
100077,132,11.0,132000.0,139442.9240953872,7442.924095387192,0.4999131320477801,DSP Bond Fund - IDCW,0.004999131320477801,0.05638578860141812,1.056385788601418,11.790564777297387,11.845417821617975,8.915287749684966,2025-12-08,True,1.3492626177549205,-0.1299157010017294
100078,132,11.0,132000.0,185877.36869854445,53877.36869854445,3.160602834475013,DSP Bond Fund - Growth,0.03160602834475013,0.4081618840798822,1.4081618840798822,11.790564777297387,12.132847807060472,10.894502913650618,2025-12-08,True,7.648638306448552,-0.052593795402102475
100079,132,11.0,132000.0,134185.50319237728,2185.5031923772767,0.1493957773280207,DSP Bond Fund - IDCW - Monthly,0.001493957773280207,0.01655684236649452,1.0165568423664946,11.790564777297387,11.806985926125002,7.690516077603174,2025-12-08,True,0.5005094745039296,-0.08257594295102602
